open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682899200000,1868.41,1881.39,1867.20,1879.28,99246.183,1682900099999,186086873.86588,71962,55258.282,103604902.92280,0
1682900100000,1879.27,1882.94,1877.72,1880.80,33383.681,1682900999999,62767296.39770,33174,16182.600,30428722.81686,0
1682901000000,1880.80,1884.44,1880.01,1883.66,22553.428,1682901899999,42451218.36302,26051,13229.333,24901318.75917,0
1682901900000,1883.66,1885.56,1881.42,1884.08,17018.145,1682902799999,32045250.83328,20055,7209.948,13576605.93511,0
1682902800000,1884.09,1884.90,1882.10,1882.77,11820.992,1682903699999,22267622.45696,17220,5658.813,10660639.69425,0
1682903700000,1882.77,1884.16,1880.41,1882.87,18658.405,1682904599999,35117425.82256,21673,9264.248,17437175.90433,0
1682904600000,1882.88,1883.55,1834.15,1841.13,239879.961,1682905499999,443760696.62353,147439,101218.452,187067277.58152,0
1682905500000,1841.13,1843.00,1821.17,1834.90,245005.940,1682906399999,449133676.80782,142577,120498.158,220912807.90251,0
1682906400000,1834.89,1846.19,1832.21,1844.51,94782.688,1682907299999,174370794.55460,73579,53823.815,99031165.22056,0
1682907300000,1844.50,1845.82,1840.76,1842.48,50841.371,1682908199999,93735459.99251,45872,19824.184,36547094.77387,0
1682908200000,1842.49,1845.64,1841.84,1842.62,26826.795,1682909099999,49467242.20362,27751,13444.137,24790112.25605,0
1682909100000,1842.62,1844.99,1839.69,1843.28,31819.939,1682909999999,58628119.22750,26809,14419.812,26570726.89574,0
1682910000000,1843.28,1844.00,1841.85,1842.62,29793.667,1682910899999,54909589.87363,26255,12705.107,23415849.91685,0
1682910900000,1842.61,1846.39,1841.20,1846.35,35358.362,1682911799999,65196426.67762,30865,20533.766,37866739.56526,0
1682911800000,1846.34,1846.74,1844.94,1845.58,15118.063,1682912699999,27902401.88237,20100,8473.759,15639815.63500,0
1682912700000,1845.59,1846.03,1842.97,1845.94,18728.208,1682913599999,34545021.72964,19577,9229.581,17025820.61615,0
1682913600000,1845.94,1845.94,1841.57,1843.00,27437.505,1682914499999,50580720.72041,22089,8907.250,16417752.46491,0
1682914500000,1843.01,1845.38,1841.44,1845.24,20237.464,1682915399999,37312401.62767,20165,11621.282,21429024.14155,0
