open,high,low,close
1220.12,1220.12,1217.91,1218.5
1218.49,1219.39,1217.92,1218.79
1218.79,1218.79,1217.67,1217.76
1217.77,1218.28,1217.31,1217.89
1217.89,1217.96,1215.5,1215.76
1215.76,1216.99,1215.03,1215.69
1215.7,1216.53,1215.67,1216.49
1216.49,1216.76,1215.43,1215.74
1215.73,1216.87,1215.73,1216.62
1216.62,1216.74,1216.21,1216.37
1216.37,1217.92,1216.36,1217.39
1217.4,1217.88,1217.16,1217.52
1217.52,1218.74,1216.89,1217.53
1217.52,1217.77,1217.3,1217.55
1217.55,1218.04,1216.73,1216.9
1216.9,1217.67,1216.89,1217.45
1217.46,1218.76,1217.43,1218.49
1218.5,1218.5,1215.73,1216.81
1216.81,1218.15,1216.08,1217.68
1217.67,1218.47,1216.86,1218.37
1218.38,1218.38,1217.3,1217.64
1217.64,1219.53,1217.5,1218.2
1218.21,1218.46,1217.45,1217.93
1217.93,1218.86,1217.75,1218.01
1218.0,1225.0,1217.86,1219.28
1219.28,1219.83,1216.7,1217.18
1217.17,1217.48,1216.3,1216.58
1216.58,1217.31,1215.64,1216.17
1216.16,1216.4,1210.0,1214.33
1214.33,1216.68,1211.89,1215.14
1215.15,1215.5,1214.17,1214.98
1214.98,1215.5,1213.3,1215.05
1215.05,1215.06,1212.59,1213.23
1213.24,1215.31,1212.07,1214.99
1215.0,1215.4,1213.49,1213.59
1213.58,1216.23,1213.58,1215.78
1215.78,1216.28,1214.74,1214.99
1214.98,1215.26,1213.25,1213.43
1213.43,1213.7,1210.64,1211.64
1211.63,1213.94,1210.9,1213.15
1213.14,1213.88,1212.26,1213.65
1213.64,1214.44,1212.5,1214.39
1214.4,1214.4,1213.56,1213.77
1213.77,1214.92,1213.76,1214.81
1214.81,1214.91,1213.55,1213.55
1213.55,1213.7,1212.32,1212.97
1212.97,1215.44,1212.59,1214.7
1214.7,1216.0,1214.37,1214.84
1214.84,1215.56,1214.83,1215.19
1215.18,1215.45,1214.42,1215.31
1215.31,1215.34,1214.0,1214.42
1214.43,1214.58,1213.54,1214.06
1214.06,1214.14,1212.57,1212.89
1212.88,1214.87,1212.69,1214.86
1214.86,1215.81,1214.5,1214.67
1214.67,1217.28,1214.61,1216.26
1216.27,1217.55,1216.26,1217.33
1217.34,1219.36,1216.82,1216.92
1216.92,1218.88,1216.83,1218.67
1218.68,1219.5,1216.64,1216.9
1216.89,1217.2,1215.7,1216.3
1216.31,1216.58,1215.48,1216.09
1216.1,1216.5,1214.62,1215.3
1215.31,1216.16,1215.07,1216.0
1216.01,1216.61,1215.83,1215.85
1215.86,1216.54,1214.2,1214.54
1214.53,1214.83,1213.6,1214.68
1214.68,1214.68,1213.32,1213.57
1213.56,1215.71,1213.53,1215.02
1215.01,1215.99,1215.01,1215.58
1215.58,1216.37,1215.57,1215.93
1215.93,1217.64,1215.93,1217.19
1217.18,1218.2,1216.48,1216.99
1216.99,1218.07,1216.25,1216.35
1216.34,1216.98,1215.53,1216.19
1216.18,1216.55,1215.78,1216.5
1216.49,1216.49,1215.2,1215.33
1215.33,1215.56,1214.94,1215.06
1215.06,1215.49,1214.3,1215.49
1215.49,1216.55,1214.0,1214.09
1214.1,1214.69,1213.54,1214.39
1214.39,1215.17,1214.26,1214.65
1214.65,1216.0,1214.37,1215.32
1215.32,1216.0,1215.15,1215.94
1215.94,1215.94,1214.03,1214.74
1214.75,1216.48,1214.58,1215.37
1215.37,1216.8,1215.27,1215.32
1215.32,1216.62,1215.22,1215.91
1215.91,1217.48,1215.35,1215.85
1215.85,1218.18,1215.85,1217.95
1217.95,1218.1,1216.37,1217.41
1217.4,1218.76,1215.53,1217.16
1217.17,1217.32,1205.0,1209.83
1209.84,1211.34,1208.16,1209.1
1209.11,1210.0,1206.4,1209.2
1209.19,1209.95,1206.53,1209.15
1209.15,1211.98,1209.06,1211.4
1211.39,1212.4,1208.53,1208.67
1208.67,1209.91,1206.85,1208.93
1208.93,1210.19,1207.0,1209.33
1209.32,1209.46,1206.65,1207.13
1207.14,1209.43,1206.57,1208.76
1208.77,1208.95,1206.69,1207.69
1207.68,1209.12,1207.31,1207.32
1207.32,1208.41,1206.13,1208.41
1208.4,1208.41,1206.65,1207.07
1207.07,1209.0,1206.51,1208.81
1208.8,1208.86,1207.33,1207.69
1207.69,1207.69,1206.02,1207.34
1207.34,1207.76,1203.05,1207.05
1207.04,1208.49,1206.72,1207.59
1207.58,1208.59,1206.48,1208.29
1208.29,1210.2,1208.23,1208.92
1208.93,1210.88,1208.86,1210.41
1210.41,1212.0,1209.91,1210.68
1210.69,1212.34,1210.31,1210.84
1210.84,1210.85,1209.66,1210.36
1210.35,1211.34,1209.63,1211.34
1211.33,1211.7,1210.53,1211.31
1211.32,1211.98,1210.56,1211.61
1211.62,1211.75,1210.2,1211.02
1211.02,1211.41,1210.0,1210.13
1210.14,1210.72,1209.62,1210.69
1210.69,1210.91,1209.93,1210.56
1210.57,1212.79,1210.52,1212.2
1212.21,1217.04,1211.67,1214.3
