open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1656633600000,1070.90,1072.51,1050.00,1054.66,213536.356,1656634499999,226003881.38824,121467,101762.334,107707656.08753,0
1656634500000,1054.65,1115.14,1054.01,1093.34,237665.097,1656635399999,255784704.72513,144464,145611.662,156806665.12271,0
1656635400000,1093.33,1118.21,1087.37,1092.19,312391.177,1656636299999,342910654.45296,199667,164033.640,180170005.76804,0
1656636300000,1092.18,1106.00,1090.38,1095.14,171571.196,1656637199999,188448192.78931,113483,85303.790,93713844.04760,0
1656637200000,1095.14,1102.91,1084.20,1087.60,145147.790,1656638099999,158702510.91655,94192,65071.472,71181350.61560,0
1656638100000,1087.59,1093.66,1085.06,1093.47,68609.969,1656638999999,74724922.06893,55423,39336.779,42849786.23377,0
1656639000000,1093.47,1097.12,1084.77,1093.21,80304.248,1656639899999,87614182.17006,61319,42396.986,46272947.30445,0
1656639900000,1093.21,1098.80,1089.51,1095.88,52634.451,1656640799999,57606061.50152,45595,26341.927,28841187.50336,0
1656640800000,1095.87,1108.00,1094.00,1102.43,73700.938,1656641699999,81008651.51968,60213,38405.899,42239232.43204,0
1656641700000,1102.43,1104.39,1095.77,1097.87,62716.263,1656642599999,68973687.72482,50036,28185.449,31001857.05225,0
1656642600000,1097.87,1098.57,1092.68,1096.42,53170.840,1656643499999,58239184.29102,43968,25040.179,27429383.51740,0
1656643500000,1096.42,1097.14,1090.00,1092.03,72276.660,1656644399999,78970784.26657,47667,33367.702,36456252.05532,0
1656644400000,1092.03,1092.91,1083.64,1086.88,80947.164,1656645299999,88059689.26224,52079,38796.471,42210302.75455,0
1656645300000,1086.87,1088.44,1077.06,1080.41,82669.131,1656646199999,89474496.76022,57644,39088.246,42311227.76893,0
1656646200000,1080.39,1083.00,1076.50,1078.95,52803.806,1656647099999,57027217.93744,41287,26809.055,28956616.65863,0
1656647100000,1078.96,1081.00,1053.74,1054.04,197683.672,1656647999999,210359388.04464,111916,87776.581,93401964.25446,0
1656648000000,1054.04,1056.78,1045.00,1047.63,184767.446,1656648899999,194223097.79088,108764,89350.728,93951895.84796,0
1656648900000,1047.63,1051.00,1045.00,1047.10,82554.224,1656649799999,86530554.95458,58751,44753.964,46917430.59597,0
1656649800000,1047.09,1065.00,1046.73,1054.48,152340.402,1656650699999,160934929.14984,90527,79400.917,83873945.57976,0
1656650700000,1054.48,1056.82,1045.00,1050.04,84786.514,1656651599999,88948431.64544,62193,40449.952,42443531.69567,0
1656651600000,1050.05,1054.53,1047.80,1052.78,53931.473,1656652499999,56690218.07971,46396,32044.647,33691161.91039,0
1656652500000,1052.78,1061.89,1046.38,1057.29,76577.534,1656653399999,80783978.96539,59608,43098.398,45487051.19115,0
1656653400000,1057.28,1062.50,1052.22,1059.05,62360.906,1656654299999,65863593.46630,52298,33075.043,34948927.31980,0
1656654300000,1059.06,1062.88,1054.03,1056.38,45034.567,1656655199999,47663959.27558,39952,22547.652,23868302.47968,0
1656655200000,1056.38,1058.84,1053.81,1055.71,38289.021,1656656099999,40433844.47333,34768,17979.195,18988174.71960,0
1656656100000,1055.72,1055.72,1049.03,1053.80,57795.162,1656656999999,60790550.97972,47677,28825.757,30322899.49812,0
1656657000000,1053.79,1057.15,1052.20,1056.81,26457.078,1656657899999,27914223.87152,28944,15209.483,16047536.11786,0
1656657900000,1056.81,1059.32,1051.98,1055.45,38958.941,1656658799999,41106367.15769,32706,19989.307,21100835.27505,0
1656658800000,1055.45,1057.22,1050.33,1055.51,47205.243,1656659699999,49727827.12982,38490,23767.226,25041388.90842,0
1656659700000,1055.51,1069.80,1054.53,1064.11,92829.560,1656660599999,98660425.53474,65440,59342.594,63070463.50923,0
1656660600000,1064.10,1076.00,1063.25,1066.45,98007.171,1656661499999,104895274.20997,69257,52063.719,55725268.66630,0
