Local time,Open,High,Low,Close,Volume
02.01.2022 13:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 13:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 14:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 14:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 14:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 14:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 15:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 15:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 15:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 15:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 16:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 16:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 16:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 16:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 17:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 17:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 17:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 17:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 18:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 18:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 18:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 18:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 19:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 19:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 19:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
